Ano,Mes,TipoVoo,NumerodeVoos
2025,6,InterIlhas,759
2025,6,Territoriais,444
2025,6,Internacionais,319
2025,7,InterIlhas,814
2025,7,Territoriais,469
2025,7,Internacionais,352
2025,8,InterIlhas,838
2025,8,Territoriais,480
2025,8,Internacionais,354
2025,9,InterIlhas,734
2025,9,Territoriais,450
2025,9,Internacionais,298
2026,6,InterIlhas,736
2026,6,Internacionais,259
2026,6,Territoriais,388
2026,7,InterIlhas,819
2026,7,Internacionais,291
2026,7,Territoriais,398
2026,8,InterIlhas,820
2026,8,Internacionais,293
2026,8,Territoriais,399
2026,9,InterIlhas,794
2026,9,Internacionais,241
2026,9,Territoriais,386
